nom_ent,nom_mun,nom_loc,ageb,pobfem,p_0a2_f,p_3a5_f,p_6a11_f,p_12a14_f,p_15a17_f,p_18a24_f,p_25a49_f,p_50a_59_f,p_60ymas_f
México,Toluca,Cacalomacán,2820,178,6,11.0,21,3.0,11.0,21.0,72.0,28.0,5.0
México,Toluca,San Andrés Cuexcontitlán,2835,1446.0,108.0,70.0,196.0,42.0,64.0,155.0,606.0,153.0,52.0
México,Toluca,San José Guadalupe Otzacatipan,2854,1711,73.0,70.0,216,100.0,86.0,174.0,774.0,164.0,54.0
México,Toluca,San Juan Tilapa,2869,84,0.0,0.0,10,3,8,15,30,14.0,4
México,Toluca,San Mateo Otzacatipan,2873,1068.0,54.0,66.0,162.0,45.0,54.0,138.0,386.0,110.0,53.0
México,Toluca,San Mateo Otzacatipan,2888,2123.0,142.0,169.0,281.0,116.0,108.0,297.0,779.0,147.0,84.0
México,Toluca,San Pablo Autopan,2892,238,16.0,12.0,24.0,12.0,16.0,43,85.0,20.0,10.0
México,Toluca,San Pedro Totoltepec,2905,918,37.0,54.0,130.0,55.0,38.0,100.0,380.0,86.0,38.0
México,Toluca,San Juan Tilapa,2943,30,0.0,4,3,0,3,3,10,7.0,0
México,Toluca,San Marcos Yachihuacaltepec,2958,15,0.0,0,0.0,0.0,0,0.0,10.0,5.0,0
México,Toluca,Cacalomacán,2962,173,9.0,10,27,11,8.0,22.0,71.0,15.0,0.0
México,Toluca,San Cayetano Morelos,2977,864.0,44.0,48.0,122.0,38.0,43.0,98.0,336.0,108.0,27.0
México,Toluca,San Cayetano Morelos,2981,1119.0,62.0,53.0,128.0,47.0,53.0,132.0,444.0,150.0,50.0
México,Toluca,Calixtlahuaca,2996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
México,Toluca,Calixtlahuaca,3000,40,4,0.0,0.0,3,3,6,9,12.0,3
México,Toluca,El Cerrillo Vista Hermosa,3015,95,6,11,12,7,8,13,32,6,0
México,Toluca,San Felipe Tlalmimilolpan,3034,45,0.0,0.0,7,4,0.0,4,21.0,4.0,5
México,Toluca,San José Guadalupe Otzacatipan,3049,737,32,39.0,101,37,41.0,73,321.0,61.0,32.0
México,Toluca,San José Guadalupe Otzacatipan,3053,2070.0,86.0,121.0,261.0,101.0,88.0,166.0,1030.0,163.0,54.0
México,Toluca,San José Guadalupe Otzacatipan,3068,3889,171.0,202.0,540.0,214.0,167.0,294.0,1838.0,342.0,121.0
México,Toluca,Toluca de Lerdo,3072,2020.0,134.0,125.0,282.0,99.0,94.0,259.0,754.0,178.0,95.0
México,Toluca,Toluca de Lerdo,3087,2336,175.0,170.0,277.0,119.0,120.0,366.0,821.0,191.0,97.0
México,Toluca,Toluca de Lerdo,3091,1429.0,59.0,34.0,161.0,36.0,35.0,109.0,640.0,319.0,36.0
México,Toluca,Toluca de Lerdo,3104,2263,41.0,59.0,144.0,76.0,110.0,378.0,919.0,415.0,121.0
México,Toluca,Toluca de Lerdo,3119,1874.0,135.0,122.0,230.0,92.0,92.0,303.0,675.0,154.0,71.0
México,Toluca,Toluca de Lerdo,3123,965,36.0,41.0,90.0,20.0,22.0,138.0,417.0,168.0,33.0
México,Toluca,Toluca de Lerdo,3138,1136.0,39.0,47.0,113.0,57.0,50.0,119.0,502.0,168.0,41.0
